"CONTRAST"	"CONTROL"	"KS"	"INTERSECT"	"UNION"	"JSI"	"PADJ_CORR"	"LOG2FC_CORR"	"T_CORR"	"SIG_PADJ_CORR"	"SIG_LOG2FC_CORR"	"SIG_T_CORR"
"Day_Day3_Day0"	3025	2669	1527	4167	0.366450683945284	0.400806826118857	0.696629054799135	0.75905833835256	0.178214944337408	0.906541780166716	0.900930344413348
"Day_Day7_Day0"	2381	2354	1251	3484	0.359070034443169	0.436737790650208	0.704599477157496	0.728592796597402	0.205474298116224	0.907744846363419	0.868929780811792
"Day_Day7_Day3"	814	236	70	980	0.0714285714285714	0.28427598133291	0.376957940730082	0.525735944167842	-0.0290328763419348	0.896643851705322	0.883117745246416
