"CONTRAST"	"CONTROL"	"KS"	"INTERSECT"	"UNION"	"JSI"	"PADJ_CORR"	"LOG2FC_CORR"	"T_CORR"	"SIG_PADJ_CORR"	"SIG_LOG2FC_CORR"	"SIG_T_CORR"
"Day_Day3_Day0"	2122	1668	1287	2503	0.514182980423492	0.59072985833646	0.875825710050108	0.856815016122607	0.176892711978743	0.970936870468431	0.940641266926872
"Day_Day7_Day0"	1727	1409	901	2235	0.403131991051454	0.469229279132601	0.84416876093252	0.786751061138906	0.290515905314591	0.960679997913807	0.928534971911025
"Day_Day7_Day3"	502	368	202	668	0.302395209580838	0.486330444034242	0.646899101073704	0.720222763805608	0.138737457434724	0.940970809216788	0.894975245714093
